"customer_id","segment","province_city"
1016846,"Regular","HA NOI"
1016868,"Regular","HO CHI MINH"
1016903,"Regular","HO CHI MINH"
1016936,"Regular","HO CHI MINH"
1016938,"Regular","HA NOI"
1007581,"Regular","HA NOI"
1007593,"Regular","HA NOI"
1012496,"Regular","DONG NAI"
1012507,"Regular","HA NOI"
1007325,"Regular","HO CHI MINH"
10064,"Regular","HO CHI MINH"
100731,"Regular","HAI PHONG"
1016639,"Regular","HO CHI MINH"
1016667,"Regular","HO CHI MINH"
1062033,"Regular","NGHE AN"
1062045,"Regular","NGHE AN"
1068920,"Regular","HA NOI"
1074481,"Regular","HO CHI MINH"
1074524,"Regular","HA NOI"
1074658,"Regular","HAI PHONG"
1074717,"Regular","HA NOI"
1054249,"Regular","HO CHI MINH"
1054250,"Regular","HAI PHONG"
1054252,"Regular","HO CHI MINH"
1054276,"Regular","HO CHI MINH"
1054289,"Regular","BINH DINH"
1054293,"Regular","HA NOI"
1054313,"Regular","HO CHI MINH"
105425,"Regular","HA NOI"
105426,"Regular","CAN THO"
1054366,"Regular","HO CHI MINH"
1054391,"Regular","HA NOI"
1557160,"Regular","HO CHI MINH"
1557167,"Regular","HO CHI MINH"
1557172,"Regular","HO CHI MINH"
1081819,"Regular","THAI NGUYEN"
1081826,"Regular","HA NOI"
1081613,"Regular","HAI DUONG"
1081625,"Regular","HO CHI MINH"
1032411,"Regular","HA NOI"
1032454,"Regular","HAI PHONG"
1032460,"Regular","VUNG TAU"
1032470,"Regular","LONG AN"
1017871,"Regular","HO CHI MINH"
1017888,"Regular","HAI PHONG"
1017976,"Regular","HO CHI MINH"
103258,"Regular","HO CHI MINH"
1032685,"Regular","BAC NINH"
1032693,"Regular","HO CHI MINH"
1021112,"Regular","HO CHI MINH"
1021136,"Regular","HA NOI"
1021188,"Regular","GIA LAI"
1021210,"Regular","HO CHI MINH"
1021216,"Regular","HA NOI"
1021308,"Regular","HA NOI"
1032700,"Regular","VINH PHUC"
1032731,"Regular","BINH THUAN"
1032737,"Regular","HAI PHONG"
1032812,"Regular","DA NANG"
1032872,"Regular","HO CHI MINH"
1032915,"Regular","HA NOI"
1032968,"Regular","HA NOI"
1003051,"Regular","HO CHI MINH"
1003073,"Regular","THANH HOA"
1003081,"Regular","HA NOI"
1003113,"Regular","HO CHI MINH"
1003126,"Regular","HO CHI MINH"
100306,"Regular","HA NOI"
1006611,"Regular","HO CHI MINH"
1006700,"Regular","HO CHI MINH"
1033030,"Regular","HA NOI"
1021602,"Regular","HA NOI"
1010043,"Regular","HO CHI MINH"
1010062,"Regular","HO CHI MINH"
1010076,"Regular","LONG AN"
1016837,"Regular","HA NOI"
1014802,"Regular","HO CHI MINH"
1016346,"Regular","NGHE AN"
1016366,"Regular","HA NOI"
101653,"Regular","HO CHI MINH"
102150,"Regular","HO CHI MINH"
1021599,"Regular","HA NOI"
1021640,"Regular","HO CHI MINH"
1003247,"Regular","HO CHI MINH"
1571258,"Regular","HA NOI"
1571283,"Regular","HO CHI MINH"
1571304,"Regular","HA NOI"
15719,"Regular","HO CHI MINH"
1572922,"Regular","HA TINH"
1011659,"Regular","HO CHI MINH"
1011700,"Regular","HO CHI MINH"
1011717,"Regular","HO CHI MINH"
1001478,"Regular","HA NOI"
1001481,"Regular","HA NOI"
1001504,"Regular","HA NOI"
100142,"Regular","DONG NAI"
1012613,"Regular","HA NOI"
1005608,"Regular","HA NOI"
1005639,"Regular","HO CHI MINH"
101682,"Regular","HA NOI"
1016954,"Regular","HO CHI MINH"
1017010,"Regular","HA NOI"
1025784,"Regular","HA NOI"
10199,"Regular","HO CHI MINH"
1007707,"Regular","HA NOI"
